Name;Author;URL;Price;Number of Ratings;Average Rating
The Secret Of The Nagas (Shiva Trilogy-2);Amish Tripathi;https://www.amazon.in/Secret-Nagas-Shiva-Trilogy-2/dp/9381626340?_encoding=UTF8&psc=1;150.00;1,481;4.6 out of 5 stars
Objective General English;S.P. Bakshi;https://www.amazon.in/Objective-General-English-S-P-Bakshi/dp/9351768449?_encoding=UTF8&psc=1;188.00;1,415;4.2 out of 5 stars
Harry Potter and the Chamber of Secrets (Harry Potter 2);J.K. Rowling;https://www.amazon.in/Harry-Potter-Chamber-Secrets/dp/1408855666?_encoding=UTF8&psc=1;349.99;380;4.6 out of 5 stars
Inner Engineering: A Yogi’s Guide to Joy;Sadhguru;https://www.amazon.in/Inner-Engineering-Yogis-Guide-Joy/dp/0143428845?_encoding=UTF8&psc=1;173.00;832;4.7 out of 5 stars
12 Years' Solved Papers CBSE AIPMT & NEET;Arihant Experts;https://www.amazon.in/Years-Solved-Papers-CBSE-AIPMT/dp/9311127639?_encoding=UTF8&psc=1;244.00;26;4.0 out of 5 stars
High School English Grammar and Composition Book (Regular Edition);D;https://www.amazon.in/School-English-Grammar-Composition-Regular/dp/9352530144?_encoding=UTF8&psc=1;284.00;662;4.3 out of 5 stars
Elon Musk: How the Billionaire CEO of Spacex and Tesla is Shaping Our Future;Ashlee Vance;https://www.amazon.in/Elon-Musk-Billionaire-Spacex-Shaping/dp/0753555638?_encoding=UTF8&psc=1;240.00;540;4.6 out of 5 stars
Don't Lose Your Mind, Lose Your Weight;Rujuta Diwekar;https://www.amazon.in/Dont-Lose-Your-Mind-Weight/dp/8184001053?_encoding=UTF8&psc=1;130.00;820;4.5 out of 5 stars
Combo Pack: Science for Class 10 (2019 Exam) with Free Virtual Reality Gear;Lakhmir Singh;https://www.amazon.in/Combo-Pack-Science-Virtual-Reality/dp/B07896K9RY?_encoding=UTF8&psc=1;1,122.00;14;3.7 out of 5 stars
Keepers of the Kalachakra: The latest thriller in the Bharat Series by bestselling author Ashwin Sanghi;Ashwin Sanghi;https://www.amazon.in/Keepers-Kalachakra-latest-thriller-bestselling/dp/9386850648?_encoding=UTF8&psc=1;208.00;200;4.2 out of 5 stars
The Power of Habit: Why We Do What We Do, and How to Change;Charles Duhigg;https://www.amazon.in/Power-Habit-Why-What-Change/dp/1847946240?_encoding=UTF8&psc=1;318.00;400;4.4 out of 5 stars
39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Mathematics;Amit M Agarwal;https://www.amazon.in/Chapterwise-Topicwise-Solved-2017-1979-Mathematics/dp/9311128767?_encoding=UTF8&psc=1;249.00;76;4.3 out of 5 stars
39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Chemistry;Ranjeet Shahi;https://www.amazon.in/Chapterwise-Topicwise-Solved-2017-1979-Chemistry/dp/9311128759?_encoding=UTF8&psc=1;249.00;75;3.9 out of 5 stars
The Secret;Rhonda Byrne;https://www.amazon.in/Secret-Rhonda-Byrne/dp/1847370292?_encoding=UTF8&psc=1;416.00;1,218;4.5 out of 5 stars
Science Textbook for Class 10- 1064;NCERT;https://www.amazon.in/Science-Textbook-Class-10-1064/dp/8174506365?_encoding=UTF8&psc=1;165.00;50;3.2 out of 5 stars
The Dragon of Fortune (Geronimo Stilton and the Kingdom of Fantasy: Special Edition #2);Geronimo Stilton;https://www.amazon.in/Fortune-Geronimo-Stilton-Kingdom-Fantasy/dp/9352751183?_encoding=UTF8&psc=1;560.00;153;4.7 out of 5 stars
RRB Group D Guide Hindi 2018;Arihant Experts;https://www.amazon.in/RRB-Group-Guide-Hindi-2018/dp/9312147897?_encoding=UTF8&psc=1;209.00;15;3.9 out of 5 stars
CBSE UGC NET/SET/JRF - Paper 1: Teaching and Research Aptitude;KVS Madaan;https://www.amazon.in/CBSE-UGC-NET-SET-JRF/dp/9332551731?_encoding=UTF8&psc=1;337.00;177;4.3 out of 5 stars
Essential English Grammar with Answers;Raymond Murphy;https://www.amazon.in/Essential-English-Grammar-Answers-Raymond/dp/8175960299?_encoding=UTF8&psc=1;128.00;591;4.4 out of 5 stars
To Kill a Mockingbird;Harper Lee;https://www.amazon.in/Kill-Mockingbird-Harper-Lee/dp/0099549484?_encoding=UTF8&psc=1;230.00;1,049;4.3 out of 5 stars
Concepts of Physics 1;H.C. Verma;https://www.amazon.in/Concepts-Physics-1-H-C-Verma/dp/8177091875?_encoding=UTF8&psc=1;291.00;640;4.6 out of 5 stars
Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated Cover;Amish Tripathi;https://www.amazon.in/Ram-Scion-Ikshvaku-Chandra-Updated/dp/9385152149?_encoding=UTF8&psc=1;219.00;4,381;4.1 out of 5 stars
The Oath of the Vayuputras (Shiva Trilogy);Amish Tripathi;https://www.amazon.in/Oath-Vayuputras-Shiva-Trilogy/dp/9382618341?_encoding=UTF8&psc=1;270.00;1,412;4.4 out of 5 stars
Man's Search for Meaning;Viktor E Frankl;https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244?_encoding=UTF8&psc=1;225.00;461;4.2 out of 5 stars
Who Will Cry When You Die?;Robin Sharma;https://www.amazon.in/Who-Will-Cry-When-You/dp/8179922324?_encoding=UTF8&psc=1;149.00;2,425;4.4 out of 5 stars
Mathematics Textbook for Class - 10  - 1062;NCERT;https://www.amazon.in/Mathematics-Textbook-Class-10-1062/dp/8174506349?_encoding=UTF8&psc=1;140.00;33;3.8 out of 5 stars
Study Guide for B.Arch 2018;PK Mishra;https://www.amazon.in/Study-Guide-B-Arch-2018-Mishra/dp/9312146033?_encoding=UTF8&psc=1;263.00;4;4.4 out of 5 stars
Objective NCERT at your Fingertips - Biology;MTG Editorial Board;https://www.amazon.in/Objective-NCERT-your-Fingertips-Biology/dp/938656193X?_encoding=UTF8&psc=1;600.00;180;4.7 out of 5 stars
Handbook of Chemistry;R P Singh;https://www.amazon.in/Handbook-Chemistry-R-P-Singh/dp/9352036042?_encoding=UTF8&psc=1;138.00;236;4.3 out of 5 stars
Handbook of Physics;Nipendra Bhatnagar;https://www.amazon.in/Handbook-Physics-Nipendra-Bhatnagar/dp/9352036034?_encoding=UTF8&psc=1;109.00;293;4.4 out of 5 stars
Mathematics for Class - 7  - 756;NCERT;https://www.amazon.in/Mathematics-Class-7-756-NCERT/dp/8174506691?_encoding=UTF8&psc=1;55.00;24;4.2 out of 5 stars
Thinking, Fast and Slow (Penguin Press Non-Fiction);Daniel Kahneman;https://www.amazon.in/Thinking-Fast-Penguin-Press-Non-Fiction/dp/0141033576?_encoding=UTF8&psc=1;359.00;456;4.5 out of 5 stars
Mathematics for Class 12 by R D Sharma (Set of 2 Volume) (2018-19 Session);R.D. Sharma;https://www.amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/8193663012?_encoding=UTF8&psc=1;855.00;11;4.3 out of 5 stars
Life is What You Make It;Preeti Shenoy;https://www.amazon.in/Life-What-Make-Preeti-Shenoy/dp/9380349300?_encoding=UTF8&psc=1;81.00;2,562;3.9 out of 5 stars
1984;George Orwell;https://www.amazon.in/1984-George-Orwell/dp/8192910903?_encoding=UTF8&psc=1;165.00;475;4.4 out of 5 stars
Beehive  for Class - 9 - 959;Paperback;https://www.amazon.in/Beehive-for-Class-9-959/dp/8174505024?_encoding=UTF8&psc=1;Not Available;1;4.0 out of 5 stars
Quantitative Aptitude for Competitive Examinations (Old Edition);R.S. Aggarwal;https://www.amazon.in/Quantitative-Aptitude-Competitive-Examinations-Old/dp/8121924987?_encoding=UTF8&psc=1;299.00;1,925;3.8 out of 5 stars
Moments : Supplementary Reader in English for Class - 9  - 960;NCERT;https://www.amazon.in/Moments-Supplementary-Reader-English-Class/dp/8174505032?_encoding=UTF8&psc=1;Not Available;4;4.3 out of 5 stars
Contemporary India Part - 2 Textbook in Geography for Class - 10  - 1068;NCERT;https://www.amazon.in/Contemporary-India-Part-Textbook-Geography/dp/8174506446?_encoding=UTF8&psc=1;65.00;25;3.8 out of 5 stars
Imperfect;Sanjay Manjrekar;https://www.amazon.in/Imperfect-Sanjay-Manjrekar/dp/9352774515?_encoding=UTF8&psc=1;494.00;44;4.3 out of 5 stars
Mathematics For Class 8 by R D Sharma (2018-19 Session);R.D. Sharma;https://www.amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/818992804X?_encoding=UTF8&psc=1;384.00;116;4.4 out of 5 stars
The Official Cambridge Guide To Ielts Student's Book With Answers With Dvd Rom;Pauline Cullen;https://www.amazon.in/Official-Cambridge-Guide-Students-Answers/dp/110744277X?_encoding=UTF8&psc=1;539.00;201;4.2 out of 5 stars
Skin in the Game;Nassim Nicholas Taleb;https://www.amazon.in/Skin-Game-Nassim-Nicholas-Taleb/dp/0241300657?_encoding=UTF8&psc=1;539.00;7;4.3 out of 5 stars
Peppa Pig: Fairy Tale Little Library;Lauren Holowaty;https://www.amazon.in/Peppa-Pig-Fairy-Little-Library/dp/1409306178?_encoding=UTF8&psc=1;133.00;214;3.9 out of 5 stars
Trueman's UGC NET/SET General Paper I;M. Gagan;https://www.amazon.in/Truemans-UGC-NET-General-Paper/dp/8189301225?_encoding=UTF8&psc=1;265.00;297;4.2 out of 5 stars
